"from","to","delta","A_dm","replicate","scenario"
"Pop01","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop01","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop02","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop02","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop02","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
"Pop02","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop02","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
"Pop02","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop02","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop03","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop03","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop03","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
"Pop03","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop03","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
"Pop03","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop03","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop04","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop04","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop04","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
"Pop04","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop04","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
"Pop04","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop04","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop05","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop05","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop05","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
"Pop05","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop05","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
"Pop05","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop05","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop06","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop06","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop06","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
"Pop06","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop06","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
"Pop06","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop06","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop07","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop07","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop07","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
"Pop07","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop07","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
"Pop07","Pop24",0.0302953656973537,-3473196783.56679,1,"Flux-conserved"
"Pop07","Pop25",-0.0397751881418407,-7834377127.66766,1,"Flux-conserved"
"Pop08","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop08","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop08","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
