"replicate","generation","k","subset","n_poly_global","n_poly_pop","He","sumAe_total","sumAe_within","ok","n_edges","mean_delta","mean_abs_delta"
4,2504,10,1,10,7.64,0.2514608,15.792150748721,14.2883105242109,1,118,0.00419563433577504,0.0308289665272187
4,2504,10,2,10,7.6,0.2450278,15.4945869481973,14.2040003490135,1,118,0.00579876763523548,0.0333988176325868
4,2504,10,3,10,7.64,0.2418774,15.3995782882156,14.1312329884159,1,122,0.019501095098188,0.0327340910972826
4,2504,12,1,12,9.72,0.255503666666667,18.7347368233369,17.2193042011511,1,135,0.011885079524382,0.0281729012618974
4,2504,12,2,12,9.08,0.243564,18.3756285668723,16.932799459979,1,125,0.00528879776674153,0.0269207570183873
4,2504,12,3,12,8.96,0.237282,18.0668279832114,16.8119420291473,1,135,0.0027211249860354,0.0259208556184301
5,2504,2,1,2,1.36,0.220122,3.06935609680051,2.79331940096548,1,38,-0.124277442042305,0.221039484796179
5,2504,2,2,2,1.36,0.229502,3.33564793453132,2.76519230803151,1,40,0.0665272818987797,0.151618768064335
5,2504,2,3,2,1.56,0.245297,3.26223366768805,2.81622024244987,1,47,-0.00240164397609587,0.0850790299144768
5,2504,3,1,3,2.76,0.290208666666667,5.51599324669319,4.48345673321895,1,77,0.0224661120083103,0.0607095530392043
5,2504,3,2,3,2.32,0.261926,4.96136414785961,4.33955063962493,1,70,-0.00909696498602324,0.0523205002939062
5,2504,3,3,3,2.2,0.267223333333333,4.93472584841128,4.38272015345149,1,71,-0.0024894767021181,0.046492928092271
5,2504,4,1,4,3.16,0.281439,7.55535223937222,5.94545492742943,1,69,0.019593053823209,0.065668727966926
5,2504,4,2,4,2.72,0.205721,6.23349851691595,5.37000702563228,1,76,-0.0382333639161643,0.0564558017789113
5,2504,4,3,4,3.72,0.287424,6.74373466900723,5.96365500771813,1,118,0.00923468975154728,0.0271459081344907
5,2504,5,1,5,4.32,0.2503656,9.07896071623131,7.08790870961195,1,92,-0.00563517562960122,0.0420128812829056
5,2504,5,2,5,4.12,0.2985412,8.25222036460928,7.621407009356,1,111,0.0125998943001533,0.0283016285028688
5,2504,5,3,5,4.08,0.2472752,8.22444788909364,7.12230161264584,1,94,0.00374894840414206,0.0359745553839655
5,2504,6,1,6,5,0.27587,10.2780608435004,8.85076233618208,1,103,0.00604816308954188,0.0356625024238912
5,2504,6,2,6,4.68,0.239788,10.5722227543928,8.38090005497119,1,93,-0.0094470244480923,0.0444564014037431
5,2504,6,3,6,3.72,0.208314666666667,9.52592933157429,8.16863753516395,1,79,-0.00923698899525693,0.055279349456797
5,2504,8,1,8,6.52,0.26439775,13.3085689608263,11.6227268495656,1,120,-0.00379156109641127,0.0327401193550921
5,2504,8,2,8,6.36,0.28030925,13.742147407709,11.8923412261178,1,113,-0.00848275137843219,0.0366621206583902
5,2504,8,3,8,6.04,0.2422815,14.1960810658617,11.293718877079,1,84,0.00562350376867091,0.0425230292549622
5,2504,10,1,10,7.12,0.2412902,16.867402543072,14.1802425668283,1,97,6.79093489399626e-05,0.0330507816397714
5,2504,10,2,10,8.08,0.2687048,16.8476323836614,14.605214821743,1,117,-0.00107147294301359,0.0286787164986254
5,2504,10,3,10,7.36,0.2116186,17.1219271457067,13.5049022388449,1,93,-0.0120495640990423,0.0393619087398513
5,2504,12,1,12,9.24,0.248962,20.6564724079517,17.112305858765,1,100,-0.00206388433562525,0.0312408243576377
5,2504,12,2,12,9.44,0.266182833333333,20.7753747370512,17.4891503425846,1,100,-0.00386293458808413,0.0314602440341896
5,2504,12,3,12,9.48,0.247423666666667,20.5087043614538,17.0500159183283,1,100,-0.00210684316659287,0.028115846336335
6,2504,2,1,2,1.68,0.280302,3.27814512156879,2.95963412380568,1,60,-0.00838058778705241,0.0605522181346675
6,2504,2,2,2,2,0.374817,3.9075488538215,3.29799080871496,1,58,0.0159153198588346,0.0537163522450689
6,2504,2,3,2,1.56,0.206132,2.90086585849053,2.67443588515839,1,50,-0.0359266794015809,0.0959415958009549
6,2504,3,1,3,2.88,0.307486666666667,5.24000807209305,4.52777825475055,1,84,-0.00963974061758886,0.0494650275828561
6,2504,3,2,3,2.12,0.200201333333333,4.46183717254265,4.02636798911077,1,56,0.00212761843964137,0.0667497398101818
6,2504,3,3,3,2.68,0.295466666666667,5.17373499430289,4.50025570043631,1,72,0.00425551469941757,0.0435984294219469
6,2504,4,1,4,2.96,0.2311305,6.03806542323135,5.57199860996493,1,84,-0.011115020735246,0.0569818058646022
6,2504,4,2,4,2.32,0.1572705,6.03834436725357,5.04500965965147,1,64,0.0453674656064425,0.111084727238112
6,2504,4,3,4,2.56,0.195254,5.83483914190286,5.31916144923205,1,66,-0.013670970762636,0.0560470799851874
6,2504,5,1,5,3.76,0.2432616,7.90430827805948,7.12547986905403,1,91,-0.01632777090261,0.0404829287912644
6,2504,5,2,5,3.6,0.2140536,7.77391535392372,6.79188585632698,1,62,-0.0227688465064221,0.0647952446632792
6,2504,5,3,5,3.8,0.2512884,7.7843744220714,7.16884229058574,1,98,-0.0115025694342107,0.0329927923279823
6,2504,6,1,6,4.08,0.195877,8.62376278397199,7.95712113516183,1,100,-0.02145987213449,0.046448020696791
6,2504,6,2,6,4.04,0.217150666666667,9.77494135290171,8.2707802077846,1,92,-0.00852046472550334,0.035292961440996
6,2504,6,3,6,5.32,0.305147,10.4255533137993,9.14808807269094,1,142,-0.00126291754456294,0.0213507573746726
6,2504,8,1,8,5.52,0.22187175,11.9496776908022,11.0456881950617,1,118,-0.00751026414378382,0.0287138748098259
6,2504,8,2,8,5.8,0.21450125,11.9044175930333,10.8613278056108,1,116,-0.0117507659839518,0.0245125750796946
6,2504,8,3,8,5.84,0.2259045,12.3686647362965,11.0511912351973,1,100,-0.0170255843669144,0.0313438219920556
