"edge_class","mean_delta","mean_abs","n","replicate","scenario","generation"
"all",0.00688719469478863,0.0343386148854313,106,11,"Flux-conserved",2004
"interior",0.00508165144039542,0.0365754887963182,94,12,"Flux-conserved",2004
"all",0.00508165144039542,0.0365754887963182,94,12,"Flux-conserved",2004
"interior",0.00100016100236483,0.0411001460060478,80,13,"Flux-conserved",2004
"all",0.00100016100236483,0.0411001460060478,80,13,"Flux-conserved",2004
"interior",0.0101494922271653,0.0338852604380912,97,14,"Flux-conserved",2004
"all",0.0101494922271653,0.0338852604380912,97,14,"Flux-conserved",2004
"interior",0.00466253302140309,0.0317478609182655,91,15,"Flux-conserved",2004
"all",0.00466253302140309,0.0317478609182655,91,15,"Flux-conserved",2004
"interior",0.00375724771008752,0.0388550870400725,94,16,"Flux-conserved",2004
"all",0.00375724771008752,0.0388550870400725,94,16,"Flux-conserved",2004
"interior",0.00298445488360241,0.0300974197019678,103,17,"Flux-conserved",2004
"all",0.00298445488360241,0.0300974197019678,103,17,"Flux-conserved",2004
"interior",0.00362407511167953,0.0356552024729843,93,18,"Flux-conserved",2004
"all",0.00362407511167953,0.0356552024729843,93,18,"Flux-conserved",2004
"interior",0.000482970521685836,0.0326611031096949,101,19,"Flux-conserved",2004
"all",0.000482970521685836,0.0326611031096949,101,19,"Flux-conserved",2004
"interior",-0.00152120680811326,0.0359156523624483,95,20,"Flux-conserved",2004
"all",-0.00152120680811326,0.0359156523624483,95,20,"Flux-conserved",2004
"interior",-0.00515999587622634,0.0399158273154418,68,21,"Flux-conserved",2004
"all",-0.00515999587622634,0.0399158273154418,68,21,"Flux-conserved",2004
"interior",-0.00353295989995799,0.0206188273954026,116,22,"Flux-conserved",2004
"all",-0.00353295989995799,0.0206188273954026,116,22,"Flux-conserved",2004
"interior",-0.00228740050160251,0.0399953914982566,88,23,"Flux-conserved",2004
"all",-0.00228740050160251,0.0399953914982566,88,23,"Flux-conserved",2004
"interior",0.00223242761983474,0.0335460035499714,92,24,"Flux-conserved",2004
"all",0.00223242761983474,0.0335460035499714,92,24,"Flux-conserved",2004
"interior",-0.00466972510567743,0.0284228255040148,105,25,"Flux-conserved",2004
"all",-0.00466972510567743,0.0284228255040148,105,25,"Flux-conserved",2004
"interior",-0.000729355455795728,0.0339363031927752,100,26,"Flux-conserved",2004
"all",-0.000729355455795728,0.0339363031927752,100,26,"Flux-conserved",2004
"interior",0.00344026466663837,0.0232356615945982,96,27,"Flux-conserved",2004
"all",0.00344026466663837,0.0232356615945982,96,27,"Flux-conserved",2004
"interior",-0.00170155074599242,0.0319274707998849,91,28,"Flux-conserved",2004
"all",-0.00170155074599242,0.0319274707998849,91,28,"Flux-conserved",2004
"interior",-0.00970294960322372,0.0305768638541417,98,29,"Flux-conserved",2004
