"Scenario","replicate","generation","n_edges","CD","diameter","mean_delta","mean_abs_delta","sd_delta","n_pendant","n_poly_global","n_poly_pop","He","sumAe_total","sumAe_within"
"Obstructed",5,2289,86,0.286666666666667,19.5600905159888,-0.00399953790921783,0.0321954968389244,0.0433764081402215,0,19,13.32,0.2305532,34.3904356182153,28.0246726136004
"Obstructed",5,2294,81,0.27,21.7354853638493,-0.00961343526715243,0.0393014318902975,0.048242186541864,0,19,13.12,0.2324302,34.1559261842076,28.0936958326091
"Obstructed",5,2299,76,0.253333333333333,24.8052777090984,-0.0177845462769891,0.0357126138325659,0.0441993919641986,0,19,13.24,0.2315308,34.0377787472261,28.0708162229902
"Obstructed",5,2304,91,0.303333333333333,20.5863090427857,-0.0133558495029474,0.0340968536072689,0.0416392829842182,0,19,13.04,0.2283554,33.9785222222683,27.9504583634764
"Obstructed",5,2309,86,0.286666666666667,25.5053259157656,-0.0111729024561782,0.0396301261890564,0.0462380715067877,0,19,12.96,0.2219821,33.8746977198202,27.700489953443
"Obstructed",5,2314,88,0.293333333333333,21.8169735448535,-0.00687150878999416,0.0349472628876832,0.044869411592245,0,19,13.04,0.220516,34.0398437118155,27.6314841964234
"Obstructed",5,2319,97,0.323333333333333,20.0111391081939,-0.00610274892833331,0.0330794599082822,0.0400937205529459,0,19,13,0.2203573,33.9301564444143,27.6077530888894
"Obstructed",5,2324,98,0.326666666666667,24.5193126857511,-0.00853364012682372,0.0326951740555437,0.0390275048671403,0,19,12.88,0.2150523,33.8857294804632,27.4013067632246
"Obstructed",5,2329,88,0.293333333333333,23.0201212195583,-0.00864294182456212,0.034360052312322,0.0423972144754291,0,19,12.84,0.2130515,33.9015955629142,27.3114795913421
"Obstructed",5,2334,88,0.293333333333333,22.6942819723021,-0.00778285409674618,0.0315668164160758,0.0386807382492018,0,19,12.64,0.2116048,33.8571723273013,27.2832518822563
"Obstructed",5,2339,88,0.293333333333333,21.3371148056188,-0.00976427659867043,0.0351549408482576,0.0443802808635399,0,19,12.64,0.2125786,33.812272382432,27.3499980513824
"Obstructed",5,2344,79,0.263333333333333,22.5694807365249,0.00382153802507052,0.0425140558295894,0.0633327413806103,0,19,12.36,0.2114512,33.8233615405719,27.3568285114416
"Obstructed",5,2349,88,0.293333333333333,21.4620674685936,-0.0107225688103492,0.0360353961973318,0.0418562511900324,0,19,12.28,0.2099137,33.8141149107002,27.2795900891457
"Obstructed",5,2354,79,0.263333333333333,20.6337347650627,-0.014955222496895,0.0404452530971272,0.0542344193916808,0,19,12.52,0.2082929,33.761142096852,27.2125242161223
"Obstructed",5,2359,77,0.256666666666667,24.0495169054921,-0.0051383536086296,0.0501428910255541,0.0739670947571291,0,19,12.04,0.2062147,33.7995313958228,27.175739125546
"Obstructed",5,2364,77,0.256666666666667,23.2902224403298,-0.0108033714357577,0.052274715731246,0.0682863134762922,0,19,12,0.2027087,33.7915057284465,27.019255626794
"Obstructed",5,2369,77,0.256666666666667,26.4477370796072,-0.0124349642392826,0.0353251716290915,0.0486805857288108,0,19,12.24,0.2012521,33.7027263400996,26.9400161194092
"Obstructed",5,2374,72,0.24,28.9670590158648,-0.0229583177668214,0.0544637578632355,0.0686624497037127,0,19,12.04,0.1974469,33.4291307304913,26.7706218006088
"Obstructed",5,2379,75,0.25,30.2005229875035,-0.021317301061652,0.040555196249405,0.0511243722029282,0,19,11.96,0.1969393,33.4168935834922,26.7764271972774
"Obstructed",5,2384,70,0.233333333333333,29.5149014908067,-0.0140787585334586,0.0473514587769791,0.056598745764111,0,19,11.72,0.1989449,33.4835865582126,26.8927044851736
"Obstructed",5,2389,81,0.27,30.9736792327714,-0.0124915054563744,0.0330288492716295,0.0417037849509163,0,19,11.76,0.1964675,33.368135291187,26.7836607295059
"Obstructed",5,2394,75,0.25,32.1064450374497,-0.00757188196801367,0.0513605057627488,0.0645526471782152,0,19,11.56,0.1930186,33.2380604486489,26.6638913802437
"Obstructed",5,2399,73,0.243333333333333,31.3620515736559,-0.0117016838788663,0.0508218986029468,0.0635287175235134,0,19,11.76,0.1909847,33.130690944358,26.5804624259012
"Obstructed",5,2404,65,0.216666666666667,34.0940352867613,-0.0131370527897539,0.0548270752028218,0.0735724094679888,0,19,11.64,0.1877711,33.0232957671863,26.4302572867301
"Obstructed",5,2409,63,0.21,38.3599610126888,-0.0215187775864996,0.0603242100669586,0.0807322100744522,0,19,11.4,0.1869475,33.0729528987723,26.4776866816053
"Obstructed",5,2414,65,0.216666666666667,39.5626103409105,-0.0165289661721979,0.0583962006528757,0.0800804907889142,0,18,11.4,0.1864271,33.1374688105426,26.4808095528793
"Obstructed",5,2419,66,0.22,34.5305106195438,-0.0178782778896082,0.0488670323953188,0.0635736552269405,0,18,11.28,0.1842594,33.0831318908388,26.386866770372
"Obstructed",5,2424,72,0.24,33.7673031470821,-0.0125653791824175,0.0366309810800965,0.0550101722864746,0,18,11.08,0.1842388,33.0149912979821,26.4167169099712
"Obstructed",5,2429,64,0.213333333333333,37.3275362996643,-0.0174776019498311,0.0518115331848422,0.0633486028690171,0,18,11.12,0.1848337,33.0364280031615,26.3862684248605
"Obstructed",5,2434,59,0.196666666666667,32.5159717371059,-0.0156203531967311,0.0578904800533503,0.0708619078343937,0,18,11,0.180545,32.9502970345779,26.1866780796263
"Obstructed",5,2439,67,0.223333333333333,31.3043956066536,-0.0174335780450093,0.0489424673368474,0.0595945704948626,0,18,11.04,0.1774862,32.8815335136327,26.0264588327412
"Obstructed",5,2444,71,0.236666666666667,32.1900625613719,-0.0136666193909224,0.0452074116893203,0.0560299187470105,0,18,11.16,0.179065,32.8173257998657,26.0810503765622
"Obstructed",5,2449,65,0.216666666666667,32.1388818750479,-0.0261664232084991,0.0560025295911473,0.0696070629366956,0,18,11.2,0.1773194,32.7308389967792,26.0017808905255
"Obstructed",5,2454,66,0.22,34.4512606321236,-0.0200358249518904,0.0554718504598289,0.0754167241053923,0,18,11,0.1753833,32.6405948169589,25.9332687148558
"Obstructed",5,2459,77,0.256666666666667,31.0367593544201,-0.0118560988635755,0.0493077967978301,0.0602392598002385,0,18,10.88,0.1732288,32.5480531083241,25.8449858105254
"Obstructed",5,2464,67,0.223333333333333,35.3825452106093,-0.0121569090882455,0.0493589370925364,0.0613556130887224,0,18,11.04,0.1747145,32.6609935365594,25.9152696018876
"Obstructed",5,2469,79,0.263333333333333,29.7394442847794,-0.0117604933234368,0.0437764108721865,0.0523784792200228,0,18,11,0.1764201,32.7243692286935,25.9953535813418
"Obstructed",5,2474,71,0.236666666666667,31.5830126569458,-0.013191374131348,0.061402473822995,0.0735652004159686,0,18,10.72,0.1764222,32.5828038682759,25.9980191565902
"Obstructed",5,2479,82,0.273333333333333,29.5784602285705,-0.0206810440829479,0.0415168428045636,0.0492706521671184,0,18,11,0.1747695,32.4198986946169,25.9352169160514
"Obstructed",5,2484,77,0.256666666666667,27.7706208160537,-0.0170785727332401,0.0402858229305914,0.0489581925695567,0,18,11.04,0.1765448,32.3900915641806,26.001787621355
"Obstructed",5,2489,67,0.223333333333333,29.516587431285,-0.0188498371110898,0.0521717007103842,0.0616737273223768,0,18,11.12,0.1809764,32.363744040666,26.2448060698842
"Obstructed",5,2494,78,0.26,27.0187200563602,-0.0297415492677733,0.039941134695545,0.0437339112594087,0,18,11.28,0.1823374,32.1936781460118,26.2662462986131
"Obstructed",5,2499,69,0.23,25.3130501932422,-0.0264509338755617,0.0475797241996094,0.0530753834174254,0,18,11.08,0.1858013,32.2407918361893,26.4462239613161
"Obstructed",5,2504,83,0.276666666666667,26.5262465275675,-0.0238743475671863,0.0397126352676368,0.0440251431765227,0,18,10.92,0.1844185,32.244719412871,26.4050015432648
"Obstructed",5,2509,72,0.24,26.9509222153403,-0.0166165617368963,0.0441127549880422,0.0536343991420218,0,18,11.04,0.1845799,32.1119791372715,26.3744899027548
"Obstructed",5,2514,73,0.243333333333333,27.6121403405638,-0.0111245134184029,0.0539814478907533,0.0704333753676851,0,18,11.04,0.1829196,32.0649658600642,26.2741158692509
"Obstructed",5,2519,88,0.293333333333333,26.1944769496447,-0.0194172379592779,0.0386396475011484,0.0431233370305619,0,18,11.04,0.1819242,31.9130195688906,26.1968302538732
"Obstructed",5,2524,81,0.27,27.3983020079787,-0.0214663224037859,0.0412534427977226,0.0470524889601764,0,18,11.04,0.1823228,31.8876043201958,26.2112990664311
"Obstructed",5,2529,77,0.256666666666667,29.2068840026833,-0.0162128494178748,0.0401160742006853,0.0487152130660175,0,18,10.96,0.1806422,31.8518231768656,26.1482877287864
"Obstructed",5,2534,71,0.236666666666667,34.0400535676445,-0.00888484248603041,0.0493836733811387,0.0795052303582243,0,18,10.8,0.1793735,31.7329763672621,26.0928317726868
"Obstructed",5,2539,71,0.236666666666667,32.9963424388934,-0.0102656223579682,0.0417130616645863,0.0525657608370068,0,18,10.64,0.1746551,31.5523408786623,25.9898468010488
"Obstructed",5,2544,79,0.263333333333333,28.9155957532834,-0.0214903540491184,0.048032960061078,0.0570587130951505,0,18,10.48,0.1783505,31.4934483862388,26.2038377297012
"Obstructed",5,2549,76,0.253333333333333,29.1080412285142,-0.00879306773483272,0.0400611987680675,0.0554127050882066,0,18,10.72,0.1776242,31.371790012951,26.0738945477263
"Obstructed",5,2554,78,0.26,30.9284106582629,-0.0168429812130512,0.0395088102338517,0.0476287434758921,0,18,10.48,0.1783063,31.3954038980128,26.1076008277632
"Obstructed",5,2559,88,0.293333333333333,27.6360520682217,-0.0106077627244366,0.0415198543145092,0.0566017556948156,0,18,10.64,0.1786207,31.372464770483,26.1366188952146
"Obstructed",5,2564,71,0.236666666666667,27.9976655324442,-0.0175427166271187,0.0505915378841618,0.0624574041087948,0,18,10.68,0.178551,31.3912876011455,26.1348087582025
"Obstructed",5,2569,82,0.273333333333333,26.1099628547593,-0.0212926184427687,0.0425714196057063,0.0498549730845476,0,18,10.8,0.1768756,31.2863237057077,26.0250691788113
"Obstructed",5,2574,82,0.273333333333333,27.9361509961807,-0.0200332076561246,0.0434947496190616,0.0479185688992099,0,18,10.68,0.1742524,31.1569614954631,25.9238713352789
"Obstructed",5,2579,75,0.25,27.8980025398034,-0.0301987384571389,0.0567420209195775,0.0664306317645422,0,18,10.72,0.174747,31.1062606166675,26.0263886372888
"Obstructed",5,2584,75,0.25,30.2331321528611,-0.0242411586496716,0.0499024759670594,0.064269335286694,0,18,10.6,0.1748752,30.9314126481846,26.0742604141318
"Obstructed",5,2589,94,0.313333333333333,22.2292946672716,-0.0176516348932422,0.0386561165567797,0.0477385415752639,0,18,10.4,0.1767766,30.8907347145518,26.1450741584233
"Obstructed",5,2594,90,0.3,25.7910342586512,-0.0279806827984497,0.0427046089574966,0.0536170102070579,0,18,10.4,0.1774268,30.8348105787553,26.1202075267947
"Obstructed",5,2599,83,0.276666666666667,25.5740047111189,-0.0249782166187207,0.0470134305401219,0.0567257545650675,0,18,10.4,0.1770734,30.6938497043831,26.1155526773217
"Obstructed",5,2604,88,0.293333333333333,26.4997681360669,-0.0244877455984478,0.0396954116577381,0.0436199665743314,0,18,10.56,0.1785223,30.7371288312428,26.1428130565995
"Obstructed",5,2609,94,0.313333333333333,27.9629746750728,-0.0252709260077684,0.0377202563124308,0.0412081612223344,0,18,10.4,0.179289,30.7354399361315,26.169346051446
"Obstructed",5,2614,84,0.28,21.7821981130787,-0.0262356194262993,0.0441334776324329,0.0510387893559153,0,18,10.52,0.176291,30.4980698852699,26.0576861612361
"Obstructed",5,2619,77,0.256666666666667,25.758964759006,-0.0322202462776632,0.0483858037746613,0.0527658342844801,0,18,10.36,0.1757468,30.3694149372086,26.0843224854989
"Obstructed",5,2624,94,0.313333333333333,21.2281811957488,-0.0281170162184991,0.0424083488511509,0.0467926087952575,0,18,10.28,0.1731669,30.2927671834239,25.9486627011302
"Obstructed",5,2629,84,0.28,22.4352278653041,-0.0236652738897616,0.0442574180117979,0.0516590291164996,0,18,10.52,0.1707087,30.228400918811,25.8198406827536
"Obstructed",5,2634,93,0.31,20.1675573673471,-0.0272769422563424,0.0453625782994678,0.0469880155200711,0,18,10.44,0.1685837,29.9145478809826,25.750236465607
"Obstructed",5,2639,80,0.266666666666667,22.4393235125974,-0.023556218872004,0.0491775191862721,0.056060098661271,0,18,10.56,0.1674806,29.9421961924649,25.6396627026451
"Obstructed",5,2644,90,0.3,20.3615894816964,-0.0205202331682259,0.0471144509320607,0.0577027334905323,0,18,10.68,0.1681135,30.0442100283116,25.643876742779
"Obstructed",5,2649,92,0.306666666666667,18.802489740436,-0.0147678296476561,0.0424687281031568,0.0549334818626387,0,18,10.52,0.1687605,29.9242551875158,25.6805064979079
"Obstructed",5,2654,82,0.273333333333333,20.3472552439443,-0.0157992750271397,0.0558772022400059,0.0698128165219088,0,18,10.52,0.1654139,29.8829538927924,25.5715278164969
"Obstructed",5,2659,90,0.3,21.5714862662115,-0.0219027585541284,0.0433502351806339,0.0545149193317253,0,18,10.48,0.1639748,29.9303175010719,25.4841567499697
"Obstructed",5,2664,88,0.293333333333333,19.3369285823413,-0.0246503030588981,0.040801082027568,0.0503940319542624,0,18,10.68,0.1646354,29.9252237289598,25.5131759132826
"Obstructed",5,2669,87,0.29,19.63358243396,-0.0239861434449493,0.0496527580611088,0.056516358478077,0,18,10.76,0.1651772,30.0033253097694,25.525160591814
"Obstructed",5,2674,95,0.316666666666667,17.5507173954274,-0.0250527156006745,0.0437775821373937,0.0478005385485583,0,18,10.52,0.1639714,29.9907632034744,25.487508441726
"Obstructed",5,2679,93,0.31,18.363677255457,-0.0204194801816698,0.0402878938125699,0.0478958051756239,0,18,10.56,0.165314,29.9860042421316,25.5701938856728
"Obstructed",5,2684,94,0.313333333333333,16.8757568930899,-0.0242309023601694,0.0443713180985807,0.0495249913558333,0,18,10.48,0.16496,29.9118233308484,25.5562593442258
"Obstructed",5,2689,88,0.293333333333333,19.2454325432273,-0.0283190041552917,0.0460881879225177,0.0479085566869777,0,18,10.36,0.164747,29.8749605610366,25.5414033334208
"Obstructed",5,2694,104,0.346666666666667,17.932940577168,-0.0259702881577112,0.0383382777612803,0.0390831815437316,0,18,10.32,0.1632671,29.8341170505473,25.4584955955016
"Obstructed",5,2699,90,0.3,17.1348113020201,-0.00773974616965468,0.0487150312704949,0.0638612304021547,0,18,10.4,0.1615864,29.7010709658527,25.4135286809774
"Obstructed",5,2704,89,0.296666666666667,18.3241195156575,-0.0144458387754321,0.0554741812943262,0.0680145096124681,0,18,10.36,0.161421,29.6778140467707,25.4297156195176
"Obstructed",5,2709,91,0.303333333333333,19.8691371391026,-0.0237938516566488,0.0464335316008404,0.0595587254234947,0,18,10.16,0.1581521,29.5014075588021,25.3103476973778
"Obstructed",5,2714,81,0.27,20.8224413168073,-0.0294627509001663,0.0452239878431356,0.0522997927846039,0,18,10,0.1580966,29.3332699465309,25.3052012604404
"Obstructed",5,2719,83,0.276666666666667,20.3174969035042,-0.027018359003769,0.0492074315533548,0.0652378982259369,0,18,10.16,0.157464,29.3138113622033,25.2700620859197
"Obstructed",5,2724,92,0.306666666666667,19.5869998987095,-0.0234300212571259,0.0409765232639052,0.0496502710726693,0,18,9.8,0.1538623,29.2783643817653,25.119969362878
"Obstructed",5,2729,83,0.276666666666667,19.7067068978851,-0.024795880952259,0.0499567152552006,0.0621665918944064,0,18,9.88,0.1554692,29.3666217543644,25.1866023930748
"Obstructed",5,2734,85,0.283333333333333,22.1017589139826,-0.0308941767960574,0.052878481219808,0.0649789915529013,0,18,9.88,0.1557774,29.3857161471326,25.2198436587363
"Obstructed",5,2739,82,0.273333333333333,18.7594914420316,-0.0241883920463332,0.0472284629959777,0.0570522716009021,0,18,10.04,0.1589363,29.3783567507282,25.3486462469423
"Obstructed",5,2744,86,0.286666666666667,19.6000471703897,-0.0264559474315028,0.0465657225960703,0.0547304735235151,0,18,9.92,0.1530252,29.3287949735269,25.161165018342
"Obstructed",5,2749,85,0.283333333333333,20.0430877687116,-0.0186446075357864,0.0497479672408694,0.0587977237810002,0,18,9.96,0.1536221,29.2915044662625,25.1947862782638
"Obstructed",5,2754,80,0.266666666666667,18.6558164064032,-0.0274754052572808,0.0506849923419453,0.0600044198080904,0,18,9.72,0.1521273,29.1583442953459,25.1351629777884
"Obstructed",5,2759,76,0.253333333333333,18.5229114146904,-0.00933781657347884,0.0522188342873763,0.0739853935308168,0,18,9.72,0.1506489,29.1415332320655,25.0611349161705
"Obstructed",5,2764,91,0.303333333333333,19.2835938437993,-0.0256888247585552,0.0469852317906319,0.0655328201959691,0,18,9.56,0.152199,29.1918689765404,25.1305361602602
"Obstructed",5,2769,84,0.28,19.2025257436742,-0.0256378740989749,0.0543348584212319,0.0712339997570837,0,18,9.68,0.1516505,29.1350903366182,25.1280965552941
"Obstructed",5,2774,76,0.253333333333333,18.1796795966019,-0.0229498814590245,0.0511865364083983,0.0685533701744065,0,18,9.92,0.1548454,29.1807106660063,25.2573779643308
"Obstructed",5,2779,84,0.28,18.9750547812503,-0.021107501560626,0.0443522182490579,0.0538272253875143,0,18,9.52,0.1529801,29.1855306767237,25.2038887054358
"Obstructed",5,2784,71,0.236666666666667,19.9824938642273,-0.0171189786745441,0.0468547721084458,0.0595865691472749,0,18,9.28,0.1490631,29.1184338327869,25.0966848342574
"Obstructed",5,2789,70,0.233333333333333,20.3330048692323,-0.0232611104889071,0.0622992953898677,0.0807645226377376,0,18,9.32,0.149036,29.0516762542732,25.0310443436737
"Obstructed",5,2794,58,0.193333333333333,24.3562281552822,-0.027673351882264,0.0770178573774413,0.095829662916341,1,18,9.36,0.1468544,29.052561948392,24.9320841165446
"Obstructed",5,2799,82,0.273333333333333,20.5394281405334,-0.0105015384048557,0.0599776207503362,0.0747259078365817,0,18,9.16,0.1449796,28.9480659427489,24.8791333776797
"Obstructed",5,2804,81,0.27,19.5465072891612,-0.011731457086776,0.0645069441388334,0.078617307223521,0,18,9.36,0.1420216,28.903352865249,24.7188240625467
"Obstructed",5,2809,68,0.226666666666667,25.8602791029165,-0.0131900500177953,0.0688390684571451,0.0891601336792311,0,18,9.08,0.140199,28.8675067972433,24.6693413256295
"Obstructed",5,2814,73,0.243333333333333,24.8935289225812,-0.0166321841647229,0.0602637693246087,0.0796098695960872,0,18,8.96,0.139105,28.7034095204291,24.6679974381454
"Obstructed",5,2819,79,0.263333333333333,23.9465802726159,-0.0122239155970396,0.0559001829390763,0.0700562066463006,0,18,8.72,0.1382956,28.712301925257,24.6449474219958
"Obstructed",5,2824,67,0.223333333333333,23.4138410681359,-0.021642937641187,0.0663655929115237,0.0855466172864794,0,18,8.56,0.1364776,28.6549408183305,24.5525225286298
"Obstructed",5,2829,65,0.216666666666667,26.3056195474011,-0.0361758058029602,0.0600772966809604,0.0744378563742925,0,18,8.68,0.134857,28.5670975283939,24.5145037394533
"Obstructed",5,2834,67,0.223333333333333,26.4786334855557,-0.0338173401142948,0.0680843186870719,0.0817038608815504,0,18,8.64,0.1345091,28.6022721536714,24.4901720806911
"Obstructed",5,2839,79,0.263333333333333,23.2303175218843,-0.0358865185388127,0.0583121277914683,0.0613793921863481,0,18,8.84,0.1352929,28.5137557511412,24.5170312060581
"Obstructed",5,2844,77,0.256666666666667,25.3523217766925,-0.0141069484163349,0.0591685338520758,0.0747097682217759,0,18,8.72,0.1337232,28.3105651175023,24.4925052053904
"Obstructed",5,2849,74,0.246666666666667,25.5357680877869,-0.0207101319160648,0.0594983775494452,0.0712723437174012,0,18,8.92,0.1306541,28.2343957198788,24.3994505198688
"Obstructed",5,2854,82,0.273333333333333,22.6000468865572,-0.0167754176584991,0.0531982285176653,0.0642548003986553,0,18,8.64,0.1303134,28.0319625917689,24.3466669690579
"Obstructed",5,2859,62,0.206666666666667,23.2399028726114,-0.028645038538077,0.0722531463518322,0.0866305545602968,0,18,8.76,0.1296362,28.1268516049425,24.3468232592321
"Obstructed",5,2864,75,0.25,24.7987384700892,-0.0299874441268121,0.050522832923081,0.054850529263396,0,18,8.48,0.1278526,28.0086526127593,24.308603121137
"Obstructed",5,2869,70,0.233333333333333,24.4311869994326,-0.025774961474691,0.0609400292989294,0.075256126682282,0,18,8.56,0.1270227,27.9750112343214,24.2832192491002
"Obstructed",5,2874,62,0.206666666666667,25.0794571703292,-0.0399547931748833,0.0752012878930452,0.086765859493282,0,18,8.48,0.1260907,27.9589779549248,24.2370876480741
"Obstructed",5,2879,61,0.203333333333333,24.0487673357683,-0.0392217942537168,0.0637676946979942,0.0670786492428025,0,18,8.2,0.1278673,28.0533877824119,24.3472528375979
"Obstructed",5,2884,74,0.246666666666667,20.21778972206,-0.0220419265670862,0.0614564467859224,0.0753105403699104,0,18,8.12,0.1266995,27.91503074433,24.2877518248752
"Obstructed",5,2889,74,0.246666666666667,22.1813514228928,-0.0114101118021194,0.0549292882925109,0.0725195114496524,0,18,8.04,0.1300187,27.8829837630923,24.3895932001637
"Obstructed",5,2894,74,0.246666666666667,19.0649360996672,-0.00432839899338189,0.0634579289293408,0.0823665770721132,0,18,8.48,0.1292731,27.7321982833361,24.3606281840483
"Obstructed",5,2899,71,0.236666666666667,19.8731189960348,-0.0154972540469529,0.0579329466181687,0.0777368388565056,0,18,8.44,0.1283689,27.7095769127624,24.3449594122452
"Obstructed",5,2904,73,0.243333333333333,24.3257298125134,-0.031617418745269,0.0608828066523164,0.0705294943279463,0,18,8.36,0.1274439,27.6945754992863,24.3286552779105
"Obstructed",5,2909,68,0.226666666666667,25.7903817714481,-0.0253193422206612,0.0635397054884696,0.0756049941600668,1,18,8.36,0.1268671,27.5308390360253,24.2676699129439
"Obstructed",5,2914,68,0.226666666666667,23.7047716241988,-0.0458412677111261,0.0761963916564467,0.0864068947058492,0,18,8.28,0.1249911,27.3531842086836,24.1836702891245
"Obstructed",5,2919,75,0.25,20.6464729589835,-0.0218670117331996,0.0560898547849608,0.0702076082167027,0,18,8.16,0.1277215,27.3769768695347,24.3250908127484
"Obstructed",5,2924,76,0.253333333333333,22.4696962623764,-0.0325605581405499,0.0712496178260122,0.0848140607554534,0,18,7.96,0.126564,27.3073862235855,24.2734817881458
"Obstructed",5,2929,76,0.253333333333333,23.0347488986149,-0.0327403363937539,0.0641922378861104,0.076207932402244,0,18,7.8,0.1229613,27.1691652418504,24.1378859638388
"Obstructed",5,2934,64,0.213333333333333,24.7078553179503,-0.025701482937508,0.0692539056805016,0.0959601122071693,0,18,7.96,0.1221409,27.1620029734465,24.1091756931138
"Obstructed",5,2939,77,0.256666666666667,21.2254037539931,-0.0266925325239456,0.057288532622623,0.0693983965408142,0,18,7.8,0.1207817,27.0347914248368,24.0738007147883
