"alpha","fpr","fpr_int","fpr_bw","n_edges","n_edges_int","mean_cGD","median_cGD","cond","replicate","generation"
0.05,0.128571428571429,0.128571428571429,0.0142857142857143,70,70,5.12027040858003,4.63513270866697,4,3,2334
0.1,0.171428571428571,0.171428571428571,0.0857142857142857,70,70,5.12027040858003,4.63513270866697,4,3,2334
0.01,0,0,0,88,88,5.30896638529314,5.02806435586063,4,3,2669
0.05,0.0568181818181818,0.0568181818181818,0.0113636363636364,88,88,5.30896638529314,5.02806435586063,4,3,2669
0.1,0.0909090909090909,0.0909090909090909,0.0454545454545455,88,88,5.30896638529314,5.02806435586063,4,3,2669
0.01,0,0,0,106,106,6.21270490042459,6.17750172026287,4,3,2999
0.05,0.0943396226415094,0.0943396226415094,0,106,106,6.21270490042459,6.17750172026287,4,3,2999
0.1,0.132075471698113,0.132075471698113,0.0471698113207547,106,106,6.21270490042459,6.17750172026287,4,3,2999
0.01,0.00840336134453781,0.00840336134453781,0,119,119,4.4534077433265,4.11890751368352,4,4,2004
0.05,0.0336134453781513,0.0336134453781513,0.0336134453781513,119,119,4.4534077433265,4.11890751368352,4,4,2004
0.1,0.0756302521008403,0.0756302521008403,0.0756302521008403,119,119,4.4534077433265,4.11890751368352,4,4,2004
0.01,0.0224719101123595,0.0224719101123595,0,89,89,5.69509804156103,5.07189845738192,4,4,2334
0.05,0.0674157303370786,0.0674157303370786,0.0112359550561798,89,89,5.69509804156103,5.07189845738192,4,4,2334
0.1,0.123595505617978,0.123595505617978,0.0337078651685393,89,89,5.69509804156103,5.07189845738192,4,4,2334
0.01,0.0125,0.0125,0,80,80,6.33097814270309,5.72100475439237,4,4,2669
0.05,0.0375,0.0375,0.05,80,80,6.33097814270309,5.72100475439237,4,4,2669
0.1,0.05,0.05,0.075,80,80,6.33097814270309,5.72100475439237,4,4,2669
0.01,0.0394736842105263,0.0394736842105263,0,76,76,5.22468887326713,5.13458266134036,4,4,2999
0.05,0.144736842105263,0.144736842105263,0,76,76,5.22468887326713,5.13458266134036,4,4,2999
0.1,0.171052631578947,0.171052631578947,0.0394736842105263,76,76,5.22468887326713,5.13458266134036,4,4,2999
0.01,0.0357142857142857,0.0357142857142857,0,112,112,5.05012209226088,4.53145971694076,4,5,2004
0.05,0.0446428571428571,0.0446428571428571,0.0267857142857143,112,112,5.05012209226088,4.53145971694076,4,5,2004
0.1,0.0625,0.0625,0.0982142857142857,112,112,5.05012209226088,4.53145971694076,4,5,2004
0.01,0.0352941176470588,0.0352941176470588,0,85,85,6.21928979387096,5.50064186761574,4,5,2334
0.05,0.0941176470588235,0.0941176470588235,0,85,85,6.21928979387096,5.50064186761574,4,5,2334
0.1,0.176470588235294,0.176470588235294,0.0235294117647059,85,85,6.21928979387096,5.50064186761574,4,5,2334
0.01,0.0375,0.0375,0,80,80,5.7597782221428,4.99226479215825,4,5,2669
0.05,0.1125,0.1125,0,80,80,5.7597782221428,4.99226479215825,4,5,2669
0.1,0.1875,0.1875,0.0125,80,80,5.7597782221428,4.99226479215825,4,5,2669
0.01,0.0119047619047619,0.0119047619047619,0.0119047619047619,84,84,5.68112204024558,4.85075667679904,4,5,2999
0.05,0.0476190476190476,0.0476190476190476,0.0119047619047619,84,84,5.68112204024558,4.85075667679904,4,5,2999
0.1,0.142857142857143,0.142857142857143,0.0238095238095238,84,84,5.68112204024558,4.85075667679904,4,5,2999
0.01,0.00714285714285714,0.00714285714285714,0,140,140,4.48064180618156,4.44589865497436,5,1,2004
0.05,0.0571428571428571,0.0571428571428571,0.00714285714285714,140,140,4.48064180618156,4.44589865497436,5,1,2004
0.1,0.0857142857142857,0.0857142857142857,0.05,140,140,4.48064180618156,4.44589865497436,5,1,2004
