"replicate","phase","generation","n_edges","diameter","mean_delta","mean_abs_delta"
1,"burnin",799,106,12.0908430637879,-0.00440646821925047,0.0234675127996678
1,"burnin",804,106,13.2008601839665,0.000872773229563007,0.0241038280412914
1,"burnin",809,114,12.4338029333931,-0.00073220156561584,0.0229152401434467
1,"burnin",814,113,11.3871198866165,-0.00465499321462697,0.0235119555950529
1,"burnin",819,119,12.8600090752653,0.0014512942947161,0.0157233537336733
1,"burnin",824,108,13.0666555712796,-0.00697259509477791,0.0280065267112346
1,"burnin",829,112,13.0265375444947,-0.000747190813214753,0.0187793504006398
1,"burnin",834,108,13.5210591887915,-0.00625270016405677,0.0281168431189039
1,"burnin",839,93,13.915934111505,-5.87086962754192e-05,0.0310481839204522
1,"burnin",844,104,14.9911020394356,0.00256371033275631,0.0230975936262338
1,"burnin",849,107,12.2158867295963,0.00349435134282864,0.0319864945856785
1,"burnin",854,112,13.3632143237556,0.00155667168440705,0.0286501174483172
1,"burnin",859,114,12.7596333532529,0.00227225781514894,0.0270037843717104
1,"burnin",864,118,12.7967287141775,0.00454880702806466,0.0221087399380306
1,"burnin",869,120,13.5337595048692,0.00314059527589876,0.024387565618258
1,"burnin",874,86,16.2088377763006,-0.00461552724815694,0.0334940395124864
1,"burnin",879,105,12.2792936728423,0.000197536450159064,0.0265561139117486
1,"burnin",884,96,13.3668296288739,-0.000451120832635844,0.0312425866732768
1,"burnin",889,104,14.8710151509358,0.00300040643352264,0.0308662174833037
1,"burnin",894,98,14.264962977567,-0.00226163771152032,0.0333045893954518
1,"burnin",899,111,13.9563921009825,-0.00365612397919563,0.0246039396530411
1,"burnin",904,109,14.4412649417923,-0.0032998237930285,0.021816480910727
1,"burnin",909,116,14.0390887834032,-0.00401404215698914,0.0206668750391064
1,"burnin",914,102,14.6559585217008,0.00454446776184568,0.0268903449597734
1,"burnin",919,105,12.973438287231,0.00193293679041504,0.0284353703980648
1,"burnin",924,117,12.9893343617099,-0.00947559914339975,0.0243617338935649
1,"burnin",929,114,13.2692925176201,0.00103801400531736,0.0214247636236865
1,"burnin",934,123,14.3040372525756,-0.00627175490505819,0.0241087148394861
1,"burnin",939,117,13.6469230997693,-0.00499151637451561,0.0254349927120879
1,"burnin",944,115,13.7668195650588,0.000131474122284128,0.0285127587608377
1,"burnin",949,109,14.4551332051283,-0.00025485121051175,0.0231074165207803
1,"burnin",954,100,14.0361836207877,0.00195741824689697,0.0238566033656121
1,"burnin",959,125,14.2925625603574,0.00634886161425767,0.0251157226300699
1,"burnin",964,115,14.6510816033245,-0.00186013529220888,0.0230356054670002
1,"burnin",969,107,15.5389709001716,0.00344243773214393,0.0292866774524921
1,"burnin",974,105,13.7924943007173,-0.00209293039828727,0.0294145781571386
1,"burnin",979,91,14.5322634877068,0.00255477341789988,0.0400336593774489
1,"burnin",984,100,14.4124372453185,0.00532821418046804,0.0384511341422908
1,"burnin",989,98,14.4723794078721,0.00322779011879928,0.0354500204710069
1,"burnin",994,105,14.2813224967066,-0.00290400551926214,0.0288780088277182
1,"burnin",999,101,14.9731842498554,0.000935246446698965,0.0302854653355285
1,"burnin",1004,107,14.8104299732292,-0.000345455129237463,0.0260022270775096
1,"burnin",1009,96,14.4668465560824,0.000794188219203337,0.0338523572180523
1,"burnin",1014,106,13.3043964059714,-0.00199755346998791,0.0299683541969636
1,"burnin",1019,90,17.3149070448753,0.00197691994023006,0.0364165854212314
1,"burnin",1024,92,14.8304398171654,-0.00232739741434836,0.0394308018071026
1,"burnin",1029,103,13.8899866496592,-0.0067586006733812,0.0316782302526562
