"replicate","scenario","generation","method","Excluded","Exclusion","rho_all","rmse_all","mae_all","rho_corr","rmse_corr","mae_corr","auc_corr"
1,"Isotropic",2254,"gravity",FALSE,"",0.514655798182598,0.277475470674054,0.170338348738817,NA,0.334459518002834,0.320854614963692,0.98599788647343
1,"Isotropic",2259,"divMigrate",FALSE,"",0.456735232129113,0.18912760547406,0.110724118008456,NA,0.577032511847412,0.539190270436567,0.98599788647343
1,"Isotropic",2259,"gravity",FALSE,"",0.548709366671366,0.257328323817244,0.137357275024105,NA,0.273151779957399,0.249331268272045,0.985054347826087
1,"Isotropic",2264,"divMigrate",FALSE,"",0.45194690749314,0.214864666952436,0.108289536397399,NA,0.710189587395624,0.692842060849518,0.980902777777778
1,"Isotropic",2264,"gravity",FALSE,"",0.507577523441397,0.289966200503838,0.174994413555896,NA,0.296687806826882,0.278433385317015,0.978223128019324
1,"Isotropic",2269,"divMigrate",FALSE,"",0.451308464208343,0.203600671855869,0.115348426415524,NA,0.641857144518841,0.617659609908581,0.980223429951691
1,"Isotropic",2269,"gravity",FALSE,"",0.521532289322286,0.283374593875003,0.163026133324503,NA,0.265916237408398,0.240478328033132,0.981846316425121
1,"Isotropic",2274,"divMigrate",FALSE,"",0.446342794215482,0.203619933458794,0.116157271091084,NA,0.631160681537005,0.595770357175802,0.97493961352657
1,"Isotropic",2274,"gravity",FALSE,"",0.519515260898155,0.280986824495599,0.165757900628262,NA,0.29450827619487,0.27308354665511,0.98245018115942
1,"Isotropic",2279,"divMigrate",FALSE,"",0.449712355996352,0.197306870423803,0.134879081469873,NA,0.510215400774764,0.463776984874577,0.978525060386473
1,"Isotropic",2279,"gravity",FALSE,"",0.517062053491952,0.293686216578565,0.171973555708873,NA,0.254167204589148,0.227967045059289,0.982563405797101
1,"Isotropic",2284,"divMigrate",FALSE,"",0.45414598991855,0.203451610828217,0.127354659469784,NA,0.599695859934291,0.571457172484313,0.983242753623188
1,"Isotropic",2284,"gravity",FALSE,"",0.511536214134688,0.285101955725509,0.176780329234039,NA,0.318473001041394,0.30701979484941,0.986262077294686
1,"Isotropic",2289,"divMigrate",FALSE,"",0.460636829980647,0.196618076421461,0.124850695997481,NA,0.576569785222167,0.55028687472735,0.990149456521739
1,"Isotropic",2289,"gravity",FALSE,"",0.531631787486261,0.277811802114554,0.158643050538334,NA,0.284090800575441,0.268315462004678,0.985922403381642
1,"Isotropic",2294,"divMigrate",FALSE,"",0.445243253002777,0.203537482021203,0.129516488929294,NA,0.578035886610937,0.540019707083008,0.973769625603865
1,"Isotropic",2294,"gravity",FALSE,"",0.495219371131595,0.31150191433292,0.195084295622067,NA,0.279313840075336,0.25532523988459,0.976600241545894
1,"Isotropic",2299,"divMigrate",FALSE,"",0.457976649627329,0.222626085931968,0.103198409655303,NA,0.757587197406929,0.743749099364013,0.98731884057971
1,"Isotropic",2299,"gravity",FALSE,"",0.517154713120263,0.285945820150336,0.171685961689551,NA,0.295696041582672,0.279525825023015,0.9849788647343
