"replicate","scenario","mean_delta","mean_A_dm","mean_abs_delta","mean_abs_A_dm","rho"
29,"Redistributed",0.017369073755416,NA,0.0643069719796924,NA,NA
29,"Obstructed",-0.0173308531553403,0.00484988331546851,0.0690779231641931,0.00737198623642571,0.420890937019969
30,"Isotropic",0.0105116038344328,-0.0178409022314093,0.0424425117613697,0.055191569405954,0.163555352048184
30,"Redistributed",0.0480440245706049,NA,0.267109178321646,NA,NA
30,"Obstructed",-0.0238571018443152,-0.000722842820528737,0.0634386524081556,0.001609737601324,0.17975432503698
31,"Isotropic",0.00239878786052597,0.00317573109174268,0.0358930885811989,0.0280631068751005,0.05061041779707
31,"Redistributed",0.0163624803975263,NA,0.0456959447193197,NA,NA
31,"Obstructed",-0.0251876794439486,0.0144640275985992,0.0440144291866982,0.01448526892837,0.0224127372933252
32,"Isotropic",0.0077076660351154,-0.00119509221827407,0.0349650187854155,0.0588442710138156,-0.0840420449116101
32,"Redistributed",0.00957175248753134,NA,0.0725600568210563,NA,NA
32,"Obstructed",-0.0149798004296684,0.0277997333462233,0.0674955627063,0.0280650930376579,-0.0238095238095238
33,"Isotropic",0.0041273374535947,-0.00840537975228673,0.0282988765568366,0.0488764331075475,-0.0282047630003762
33,"Redistributed",-0.0185851085726569,NA,0.0968760701503785,NA,NA
33,"Obstructed",-0.0236909811629128,-0.00359715973745741,0.0643852114534287,0.00444034603930737,0.138475485381884
34,"Isotropic",0.00602975046413651,-0.0149341119125315,0.0352149988860573,0.0553597448061758,0.217692226409778
34,"Redistributed",0.15828295421177,NA,0.203667727215818,NA,NA
34,"Obstructed",-0.00756616141692544,0.0243317229291561,0.0348793147996842,0.0340332017539956,0.095170321135715
35,"Isotropic",-0.0100612556432839,0.00703123941393655,0.0333790649544271,0.0421602655330583,-0.0113393852524287
35,"Redistributed",-0.0374860824535605,NA,0.0741268640457396,NA,NA
35,"Obstructed",-0.00799098057580259,0.000259658711776365,0.0335019377630336,0.0002698115596398,0.0148096304591265
36,"Isotropic",0.0025574549496731,-0.0196123715131837,0.0378247761035557,0.0231311875214475,-0.0632926501745695
36,"Redistributed",0.00986757928321832,-7571616590.45037,0.126230866144187,10206083579.4124,-0.401881284463185
36,"Obstructed",-0.0195210493598924,0.000533378496760269,0.0494243695009535,0.000591400120622195,0.0360516066212269
37,"Isotropic",0.00136027278583966,-0.020037691940261,0.0300417243996123,0.0441086422275061,0.136511908071541
37,"Redistributed",0.0237584481250849,NA,0.0660640528331017,NA,NA
37,"Obstructed",-0.0199827922754666,0.00025542494711839,0.0436436603972759,0.000265882499344401,-0.0716737169766143
38,"Isotropic",0.00442816794226105,-0.00191087702593943,0.031361537080656,0.0653083421205359,0.189228405169156
38,"Redistributed",0.05014797355522,NA,0.142500026442212,NA,NA
38,"Obstructed",-0.0130148114077401,0.0027043573659924,0.0598631551378701,0.0033451399606744,0.0545864030232469
39,"Isotropic",0.0134433456466309,-0.0102515229227077,0.0461477330600761,0.0155605553288912,0.251404076633715
39,"Redistributed",-0.0326596915186666,0.0194378791918316,0.108325307601012,0.0196237420765004,-0.053530265516947
39,"Obstructed",-0.0175654829528717,0.024070201723144,0.0560084853244938,0.032719979883933,0.349724099650635
40,"Isotropic",0.0115030704242137,-0.0111847815047187,0.039773402107625,0.0172601857395191,0.110902529707662
40,"Redistributed",0.0801615091558712,NA,0.148446364175543,NA,NA
40,"Obstructed",-0.00365081629221697,0.0197202402567598,0.050938994483604,0.020760302061251,-0.269237092021902
41,"Isotropic",0.00135433054632784,0.0104663792347349,0.0381275075404664,0.063566919667034,0.137013875317569
41,"Redistributed",0.0455191881289712,NA,0.128825439338505,NA,NA
41,"Obstructed",-0.0311252562391398,NA,0.0537913808000759,NA,NA
42,"Isotropic",0.006496679416498,-0.00919816468413967,0.0301094317510048,0.0244585640368743,0.147099567099567
42,"Redistributed",0.118594283982254,NA,0.254947189967305,NA,NA
42,"Obstructed",0.0196681106181159,NA,0.0760988011203953,NA,NA
43,"Isotropic",-0.00205546674668347,-0.0128422928586384,0.0327392485740857,0.0479846031724251,-0.10694096932629
43,"Redistributed",0.0740265907654884,NA,0.153683336794671,NA,NA
43,"Obstructed",-0.0216640663706197,0.0011009885252081,0.0517463092122994,0.00150944326203935,-0.0178329013945452
44,"Isotropic",0.00227710596819345,0.018282999363828,0.0333937659002458,0.0315897630926369,0.350876422264201
44,"Redistributed",0.179250151956471,NA,0.193583432208208,NA,NA
44,"Obstructed",0.000655396300937415,NA,0.0816230316587205,NA,NA
45,"Isotropic",-0.00665237706241265,0.000958947085165034,0.0437088376458674,0.0530186851018564,0.272201482727798
45,"Redistributed",0.0955759669098365,NA,0.111854884067355,NA,NA
45,"Obstructed",-0.0152727627333519,NA,0.0466577255340323,NA,NA
46,"Isotropic",-0.00432748931492251,-0.0321149537647423,0.0328902507038062,0.0561662809473153,-0.0319989289061454
46,"Redistributed",0.0671257844329176,NA,0.191519741953826,NA,NA
46,"Obstructed",-0.0212497235350009,NA,0.0751323963960047,NA,NA
47,"Isotropic",0.00550076582687486,-0.0058230768602048,0.0314957312437857,0.0410193063351133,-0.298064472352432
47,"Redistributed",0.0534987333574743,NA,0.094481815475279,NA,NA
47,"Obstructed",-0.0256997939133983,0.00232959401322725,0.0472004502468605,0.00295885843739787,0.0983557637790576
48,"Isotropic",-0.00419036035132787,-0.00263584228097691,0.0238744518668649,0.0582084245607,0.130792139344423
48,"Redistributed",0.0142134066454439,NA,0.0913536438949773,NA,NA
48,"Obstructed",-0.0255563628027107,NA,0.0584904555717231,NA,NA
