"cond","replicate","alternative","sign_concord","rho_signed","rho_abs","dbar_pres"
2,15,"perplexity",0.752941176470588,0.667502890853145,0.606780126269558,1
2,16,"global",0.873239436619718,0.824756793022476,0.632774236833278,1
2,16,"scale x0.5",0.859154929577465,0.606977524320698,0.34740020127474,0
2,16,"scale x2",0.76056338028169,0.839584032203959,0.714927876551493,1
2,16,"perplexity",0.859154929577465,0.67819523649782,0.297349882589735,1
2,17,"global",0.91025641025641,0.846044317878437,0.734194434203333,1
2,17,"scale x0.5",0.846153846153846,0.881234188077652,0.610724774024587,1
2,17,"scale x2",0.82051282051282,0.825093123482373,0.654737537980396,1
2,17,"perplexity",0.846153846153846,0.710344652233057,0.683494577861402,1
2,23,"global",0.818181818181818,0.505285412262156,0.186328400281889,0
2,23,"scale x0.5",0.840909090909091,0.670472163495419,0.306131078224101,1
2,23,"scale x2",0.727272727272727,0.579140239605356,0.264552501761804,0
2,23,"perplexity",0.636363636363636,0.303453136011276,0.249048625792812,1
2,26,"global",0.84375,0.682326007326007,0.36007326007326,0
2,26,"scale x0.5",0.828125,0.571382783882784,0.328983516483516,1
2,26,"scale x2",0.859375,0.845604395604396,0.64702380952381,0
2,26,"perplexity",0.765625,0.428708791208791,0.249313186813187,1
2,30,"global",0.891891891891892,0.854673213702255,0.539594849976441,1
2,30,"scale x0.5",0.894736842105263,0.933825962280799,0.818952062430323,1
2,30,"scale x2",0.918918918918919,0.909395528443416,0.776327739476743,1
2,30,"perplexity",0.894736842105263,0.837028059153064,0.556586347379954,1
2,31,"global",0.934306569343066,0.890776562675555,0.718952473690124,1
2,31,"scale x0.5",0.751824817518248,0.784034305831242,0.561898430770383,1
2,31,"scale x2",0.788321167883212,0.813822516010636,0.670288565971312,1
2,31,"perplexity",0.62043795620438,0.574135800157297,0.393810156922962,1
2,32,"global",0.934782608695652,0.778462536490431,0.376210555581298,1
2,32,"scale x0.5",0.902173913043478,0.741362000525153,0.264878056314968,1
2,32,"scale x2",0.880434782608696,0.793274948643097,0.463401448805276,1
2,32,"perplexity",0.869565217391304,0.665693588496054,0.0830205582070649,1
2,33,"global",0.789473684210526,0.517233833023307,0.0732027574132837,0
2,33,"scale x0.5",0.657894736842105,0.674800306379254,0.595579385053069,1
2,33,"scale x2",1,0.84112047269942,0.312616259984681,0
2,33,"perplexity",0.789473684210526,0.383302330670752,-0.151329467118941,0
2,35,"global",0.761194029850746,0.356055617602364,0.188689328761489,1
2,35,"scale x0.5",0.805970149253731,0.725834311541159,0.350428492419679,1
2,35,"scale x2",0.716417910447761,0.531382709711468,0.427514863504442,1
2,35,"perplexity",0.791044776119403,0.458969146957065,0.533148828772211,1
2,36,"global",0.761904761904762,0.524002594875122,0.0483432696994896,0
2,36,"scale x0.5",0.738095238095238,0.768569575089199,0.561034958228567,0
2,36,"scale x2",0.80952380952381,0.739701589361012,0.556006164328007,1
2,36,"perplexity",0.761904761904762,0.34852416477457,-0.0804639656743183,1
2,38,"global",0.734375,0.660203620739931,0.811517657605658,1
2,38,"scale x0.5",0.796875,0.731261709711885,0.721617075418522,1
2,38,"scale x2",0.796875,0.775070073432324,0.837059000671778,1
2,38,"perplexity",0.671875,0.326740828297416,0.636891962678736,1
2,39,"global",0.903846153846154,0.688892683343294,0.307948433364638,1
2,39,"scale x0.5",0.846153846153846,0.727396909416887,0.532314522325621,1
2,39,"scale x2",0.846153846153846,0.798087594979937,0.602322206095791,1
2,39,"perplexity",0.788461538461538,0.439511653718091,0.112524545376932,1
2,4,"global",0.877697841726619,0.998850335394281,0.99160835362597,1
2,4,"scale x0.5",0.870503597122302,0.964147664008256,0.783238433197244,1
2,4,"scale x2",0.856115107913669,0.997094154815465,0.966284048629908,1
2,4,"perplexity",0.848920863309353,0.880208569074927,0.804480070971421,1
2,43,"global",0.858974358974359,0.823547629493896,0.88733640361148,1
2,43,"scale x0.5",0.923076923076923,0.86455725604563,0.849166081232274,1
2,43,"scale x2",0.91025641025641,0.97096549410277,0.90469128093045,1
2,43,"perplexity",0.730769230769231,0.787699692879449,0.839330783441313,1
2,47,"global",0.949367088607595,0.807490176817289,0.612450884086444,1
2,47,"scale x0.5",0.708860759493671,0.833988212180747,0.560830058939096,1
2,47,"scale x2",0.949367088607595,0.637082514734774,0.494572691552063,1
2,47,"perplexity",0.873417721518987,0.7475442043222,0.641453831041257,1
2,48,"global",0.857142857142857,0.709934181239425,0.196698727519502,1
2,48,"scale x0.5",0.857142857142857,0.724285714285714,0.428061224489796,1
2,48,"scale x2",0.836734693877551,0.851224489795918,0.665816326530612,1
2,48,"perplexity",0.775510204081633,0.494106842828992,0.228537898977912,0
2,50,"global",0.808510638297872,0.616541355427605,0.565294103554429,1
2,50,"scale x0.5",0.791666666666667,0.785908153294973,0.645098252089892,1
2,50,"scale x2",0.829787234042553,0.776429715564341,0.784246668584075,1
2,50,"perplexity",0.680851063829787,0.518715563186648,0.473331344366759,1
2,6,"global",0.95,0.948282362798492,0.900132663035889,1
2,6,"scale x0.5",0.716666666666667,0.810592096075967,0.589282223153191,1
2,6,"scale x2",0.933333333333333,0.772371177209887,0.688144113950566,1
2,6,"perplexity",0.866666666666667,0.658630079597821,0.701291719033655,1
2,9,"global",0.730769230769231,0.780671274199091,0.772907200224012,1
