"Stratum","He","n_poly","pop_index","is_terminus","replicate","scenario","generation"
"Pop19",0.251615,17,19,FALSE,5,"Isotropic",2004
"Pop20",0.2340425,16,20,FALSE,5,"Isotropic",2004
"Pop21",0.27172,15,21,FALSE,5,"Isotropic",2004
"Pop22",0.26358,14,22,FALSE,5,"Isotropic",2004
"Pop23",0.24794,14,23,FALSE,5,"Isotropic",2004
"Pop24",0.2212575,14,24,FALSE,5,"Isotropic",2004
"Pop25",0.205345,14,25,TRUE,5,"Isotropic",2004
"Pop01",0.1200525,9,1,TRUE,6,"Isotropic",2004
"Pop02",0.1731225,10,2,FALSE,6,"Isotropic",2004
"Pop03",0.1821225,10,3,FALSE,6,"Isotropic",2004
"Pop04",0.16321,12,4,FALSE,6,"Isotropic",2004
"Pop05",0.1815625,11,5,FALSE,6,"Isotropic",2004
"Pop06",0.1811925,12,6,FALSE,6,"Isotropic",2004
"Pop07",0.236355,12,7,FALSE,6,"Isotropic",2004
"Pop08",0.2503525,12,8,FALSE,6,"Isotropic",2004
"Pop09",0.22363,12,9,FALSE,6,"Isotropic",2004
"Pop10",0.204365,12,10,FALSE,6,"Isotropic",2004
"Pop11",0.22463,13,11,FALSE,6,"Isotropic",2004
"Pop12",0.2036225,12,12,FALSE,6,"Isotropic",2004
"Pop13",0.2012275,14,13,FALSE,6,"Isotropic",2004
"Pop14",0.2144375,14,14,FALSE,6,"Isotropic",2004
"Pop15",0.2578725,15,15,FALSE,6,"Isotropic",2004
"Pop16",0.22797,14,16,FALSE,6,"Isotropic",2004
"Pop17",0.230825,15,17,FALSE,6,"Isotropic",2004
"Pop18",0.2340725,16,18,FALSE,6,"Isotropic",2004
"Pop19",0.2220175,16,19,FALSE,6,"Isotropic",2004
"Pop20",0.258195,15,20,FALSE,6,"Isotropic",2004
"Pop21",0.179895,13,21,FALSE,6,"Isotropic",2004
"Pop22",0.210355,13,22,FALSE,6,"Isotropic",2004
"Pop23",0.2029075,13,23,FALSE,6,"Isotropic",2004
"Pop24",0.2114025,12,24,FALSE,6,"Isotropic",2004
"Pop25",0.2092625,11,25,TRUE,6,"Isotropic",2004
"Pop01",0.1381825,8,1,TRUE,7,"Isotropic",2004
"Pop02",0.1486575,10,2,FALSE,7,"Isotropic",2004
"Pop03",0.1557525,9,3,FALSE,7,"Isotropic",2004
"Pop04",0.20729,11,4,FALSE,7,"Isotropic",2004
"Pop05",0.21604,11,5,FALSE,7,"Isotropic",2004
"Pop06",0.1995375,11,6,FALSE,7,"Isotropic",2004
"Pop07",0.1598125,10,7,FALSE,7,"Isotropic",2004
"Pop08",0.1318125,10,8,FALSE,7,"Isotropic",2004
"Pop09",0.1731625,11,9,FALSE,7,"Isotropic",2004
"Pop10",0.2174325,13,10,FALSE,7,"Isotropic",2004
"Pop11",0.1781275,13,11,FALSE,7,"Isotropic",2004
"Pop12",0.1903875,12,12,FALSE,7,"Isotropic",2004
"Pop13",0.1822225,12,13,FALSE,7,"Isotropic",2004
"Pop14",0.2030575,12,14,FALSE,7,"Isotropic",2004
"Pop15",0.21743,11,15,FALSE,7,"Isotropic",2004
"Pop16",0.2207425,11,16,FALSE,7,"Isotropic",2004
"Pop17",0.210055,11,17,FALSE,7,"Isotropic",2004
"Pop18",0.1699075,11,18,FALSE,7,"Isotropic",2004
"Pop19",0.180205,11,19,FALSE,7,"Isotropic",2004
"Pop20",0.114055,9,20,FALSE,7,"Isotropic",2004
"Pop21",0.10054,8,21,FALSE,7,"Isotropic",2004
"Pop22",0.10309,9,22,FALSE,7,"Isotropic",2004
"Pop23",0.07621,7,23,FALSE,7,"Isotropic",2004
"Pop24",0.0686125,6,24,FALSE,7,"Isotropic",2004
"Pop25",0.07254,6,25,TRUE,7,"Isotropic",2004
"Pop01",0.1643725,10,1,TRUE,8,"Isotropic",2004
"Pop02",0.1837875,11,2,FALSE,8,"Isotropic",2004
"Pop03",0.1909875,11,3,FALSE,8,"Isotropic",2004
"Pop04",0.190675,12,4,FALSE,8,"Isotropic",2004
"Pop05",0.19971,13,5,FALSE,8,"Isotropic",2004
"Pop06",0.2373025,14,6,FALSE,8,"Isotropic",2004
"Pop07",0.169635,15,7,FALSE,8,"Isotropic",2004
"Pop08",0.2397875,14,8,FALSE,8,"Isotropic",2004
"Pop09",0.23185,14,9,FALSE,8,"Isotropic",2004
"Pop10",0.20924,15,10,FALSE,8,"Isotropic",2004
"Pop11",0.2037175,14,11,FALSE,8,"Isotropic",2004
"Pop12",0.1853725,14,12,FALSE,8,"Isotropic",2004
"Pop13",0.185245,14,13,FALSE,8,"Isotropic",2004
"Pop14",0.2129275,12,14,FALSE,8,"Isotropic",2004
"Pop15",0.22387,11,15,FALSE,8,"Isotropic",2004
"Pop16",0.236335,12,16,FALSE,8,"Isotropic",2004
"Pop17",0.2349225,12,17,FALSE,8,"Isotropic",2004
"Pop18",0.2016225,12,18,FALSE,8,"Isotropic",2004
"Pop19",0.1962,12,19,FALSE,8,"Isotropic",2004
"Pop20",0.17181,12,20,FALSE,8,"Isotropic",2004
"Pop21",0.1368775,10,21,FALSE,8,"Isotropic",2004
"Pop22",0.1586225,11,22,FALSE,8,"Isotropic",2004
"Pop23",0.176025,10,23,FALSE,8,"Isotropic",2004
"Pop24",0.1388775,10,24,FALSE,8,"Isotropic",2004
"Pop25",0.1128375,9,25,TRUE,8,"Isotropic",2004
"Pop01",0.1899225,11,1,TRUE,9,"Isotropic",2004
"Pop02",0.1953575,11,2,FALSE,9,"Isotropic",2004
"Pop03",0.17677,11,3,FALSE,9,"Isotropic",2004
"Pop04",0.210395,11,4,FALSE,9,"Isotropic",2004
"Pop05",0.1930025,12,5,FALSE,9,"Isotropic",2004
"Pop06",0.2015825,12,6,FALSE,9,"Isotropic",2004
"Pop07",0.224345,11,7,FALSE,9,"Isotropic",2004
"Pop08",0.2245575,14,8,FALSE,9,"Isotropic",2004
"Pop09",0.2585625,14,9,FALSE,9,"Isotropic",2004
"Pop10",0.2656825,15,10,FALSE,9,"Isotropic",2004
"Pop11",0.2693025,15,11,FALSE,9,"Isotropic",2004
"Pop12",0.2629775,15,12,FALSE,9,"Isotropic",2004
"Pop13",0.2299625,16,13,FALSE,9,"Isotropic",2004
"Pop14",0.25962,16,14,FALSE,9,"Isotropic",2004
"Pop15",0.238945,16,15,FALSE,9,"Isotropic",2004
"Pop16",0.26247,15,16,FALSE,9,"Isotropic",2004
"Pop17",0.2699975,16,17,FALSE,9,"Isotropic",2004
"Pop18",0.284995,15,18,FALSE,9,"Isotropic",2004
"Pop19",0.31114,16,19,FALSE,9,"Isotropic",2004
"Pop20",0.2421425,15,20,FALSE,9,"Isotropic",2004
"Pop21",0.26546,15,21,FALSE,9,"Isotropic",2004
"Pop22",0.26422,15,22,FALSE,9,"Isotropic",2004
"Pop23",0.2652825,14,23,FALSE,9,"Isotropic",2004
"Pop24",0.2253625,14,24,FALSE,9,"Isotropic",2004
"Pop25",0.2025775,14,25,TRUE,9,"Isotropic",2004
"Pop01",0.0636675,6,1,TRUE,10,"Isotropic",2004
"Pop02",0.072765,8,2,FALSE,10,"Isotropic",2004
"Pop03",0.10995,10,3,FALSE,10,"Isotropic",2004
"Pop04",0.1070025,10,4,FALSE,10,"Isotropic",2004
"Pop05",0.15023,10,5,FALSE,10,"Isotropic",2004
"Pop06",0.145185,12,6,FALSE,10,"Isotropic",2004
"Pop07",0.150025,12,7,FALSE,10,"Isotropic",2004
"Pop08",0.1979475,13,8,FALSE,10,"Isotropic",2004
"Pop09",0.21093,14,9,FALSE,10,"Isotropic",2004
"Pop10",0.2664575,14,10,FALSE,10,"Isotropic",2004
"Pop11",0.26978,17,11,FALSE,10,"Isotropic",2004
"Pop12",0.2813925,18,12,FALSE,10,"Isotropic",2004
"Pop13",0.2626475,18,13,FALSE,10,"Isotropic",2004
"Pop14",0.2706225,18,14,FALSE,10,"Isotropic",2004
"Pop15",0.23417,16,15,FALSE,10,"Isotropic",2004
"Pop16",0.2295425,18,16,FALSE,10,"Isotropic",2004
"Pop17",0.277435,18,17,FALSE,10,"Isotropic",2004
"Pop18",0.2747425,18,18,FALSE,10,"Isotropic",2004
"Pop19",0.296665,17,19,FALSE,10,"Isotropic",2004
"Pop20",0.29741,19,20,FALSE,10,"Isotropic",2004
"Pop21",0.240655,16,21,FALSE,10,"Isotropic",2004
"Pop22",0.214095,16,22,FALSE,10,"Isotropic",2004
